time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-28T07:17:56.930Z,-8.836,123.936,150,4.7,mb,23,,,0.95,us,usp000a6u5,2014-11-07T01:11:46.932Z,"63 km NW of Pante Makasar, Timor Leste",earthquake,,,,9,reviewed,us,us
2000-12-28T05:24:53.430Z,34.2,139.108,33,4.6,mb,18,,,1.19,us,usp000a6u1,2014-11-07T01:11:46.925Z,"near the south coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us
2000-12-28T04:34:28.450Z,-4.05,152.307,33,6.2,mwc,170,,,0.98,us,usp000a6ty,2022-04-29T19:02:43.076Z,"23 km NE of Rabaul, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-28T01:47:27.420Z,12.149,-87.954,59.1,4.8,mb,53,,,1.12,us,usp000a6tt,2014-11-07T01:11:46.887Z,"85 km SW of Jiquilillo, Nicaragua",earthquake,,14.6,,17,reviewed,us,us
2000-12-27T09:07:10.630Z,-3.803,101.871,33,4.8,mb,42,,,0.99,us,usp000a6sv,2014-11-07T01:11:46.807Z,"43 km W of Bengkulu, Indonesia",earthquake,,,,6,reviewed,us,us
2000-12-27T07:57:55.240Z,17.929,147.13,33,4.7,mb,60,,,0.76,us,usp000a6st,2014-11-07T01:11:46.799Z,"Mariana Islands region",earthquake,,,,17,reviewed,us,us
2000-12-27T07:26:31.630Z,-4.228,152.73,33,5.8,mwc,256,,,0.82,us,usp000a6ss,2022-04-29T19:02:41.635Z,"52 km ENE of Kokopo, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-27T07:03:47.820Z,-9.33,154.593,33,5.9,mwb,68,,,1,us,usp000a6sr,2022-04-29T19:02:35.345Z,"282 km WSW of Gizo, Solomon Islands",earthquake,,,,,reviewed,us,us
2000-12-27T06:56:24.460Z,-4.862,152.607,66.2,4.5,mb,20,,,1.14,us,usp000a6sq,2014-11-07T01:11:46.760Z,"68 km SSE of Kokopo, Papua New Guinea",earthquake,,11.7,,6,reviewed,us,us
2000-12-27T02:31:34.990Z,-7.27,121.171,541.5,4.5,mb,34,,,1.04,us,usp000a6sg,2014-11-07T01:11:46.744Z,"167 km NNE of Ruteng, Indonesia",earthquake,,8.7,,8,reviewed,us,us
2000-12-26T22:12:47.090Z,44.557,148.173,33,4.8,mb,76,,,0.88,us,usp000a6sc,2014-11-07T01:11:46.729Z,"78 km SSE of Kuril’sk, Russia",earthquake,,,,37,reviewed,us,us
